trial,Agent1_choice,Agent2_choice,left_v1,right_v2,feedback,alpha,tau
1,0,0,0.5,0.5,1,0,0.01
2,1,0,0.5,0.5,0,0,0.01
3,0,0,0.5,0.5,1,0,0.01
4,0,1,0.5,0.5,0,0,0.01
5,0,1,0.5,0.5,0,0,0.01
6,0,1,0.5,0.5,0,0,0.01
7,0,0,0.5,0.5,1,0,0.01
8,1,1,0.5,0.5,1,0,0.01
9,1,1,0.5,0.5,1,0,0.01
10,1,0,0.5,0.5,0,0,0.01
11,0,1,0.5,0.5,0,0,0.01
12,0,1,0.5,0.5,0,0,0.01
13,0,1,0.5,0.5,0,0,0.01
14,1,1,0.5,0.5,1,0,0.01
15,0,0,0.5,0.5,1,0,0.01
16,0,0,0.5,0.5,1,0,0.01
17,0,1,0.5,0.5,0,0,0.01
18,0,1,0.5,0.5,0,0,0.01
19,1,0,0.5,0.5,0,0,0.01
20,0,1,0.5,0.5,0,0,0.01
21,0,0,0.5,0.5,1,0,0.01
22,0,0,0.5,0.5,1,0,0.01
23,1,1,0.5,0.5,1,0,0.01
24,0,1,0.5,0.5,0,0,0.01
25,1,1,0.5,0.5,1,0,0.01
26,1,1,0.5,0.5,1,0,0.01
27,1,1,0.5,0.5,1,0,0.01
28,0,1,0.5,0.5,0,0,0.01
29,1,1,0.5,0.5,1,0,0.01
30,1,1,0.5,0.5,1,0,0.01
1,0,1,0.5,0.5,0,0.1,0.01
2,0,1,0.45,0.5,0,0.1,0.01
3,1,1,0.405,0.5,1,0.1,0.01
4,1,0,0.405,0.55,0,0.1,0.01
5,1,0,0.405,0.49500000000000005,0,0.1,0.01
6,0,1,0.405,0.44550000000000006,0,0.1,0.01
7,1,1,0.36450000000000005,0.44550000000000006,1,0.1,0.01
8,0,1,0.36450000000000005,0.50095,0,0.1,0.01
9,1,1,0.32805000000000006,0.50095,1,0.1,0.01
10,1,1,0.32805000000000006,0.550855,1,0.1,0.01
11,0,0,0.32805000000000006,0.5957695,1,0.1,0.01
