# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_no_transform_model
# start_datetime = 2024-03-06 11:30:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/RtmpXCq6sw/standata-176cf4ed53ada.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-202403061230-1-9826fd.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-profile-202403061230-1-76be33.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_no_transform_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,tau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.275895
# Diagonal elements of inverse mass matrix:
# 1.66366, 0.332548
-173.284,0.995879,0.275895,2,7,0,173.995,0.516378,0.681387,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.464,0.970104,0.275895,3,7,0,174.169,0.682017,0.553658,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-177.129,0.908704,0.275895,2,3,0,177.587,0.462444,1.33014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-176.045,1,0.275895,3,7,0,178.922,0.346027,0.238053,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-175.882,0.995212,0.275895,3,7,0,176.604,0.252969,0.309822,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-176.83,0.953505,0.275895,3,15,0,179.635,0.130881,0.375865,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-176.53,0.996452,0.275895,3,7,0,177.336,0.165702,0.331024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-175.126,0.994457,0.275895,3,7,0,177.699,0.629761,0.298975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.892,0.994812,0.275895,3,15,0,175.292,0.529225,0.321276,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.273,0.9915,0.275895,3,15,0,175.76,0.732816,0.418875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.504,0.999652,0.275895,3,7,0,174.702,0.453013,0.638336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.364,0.973009,0.275895,3,7,0,174.629,0.772605,0.427515,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.508,0.995885,0.275895,2,7,0,174.744,0.497377,0.568299,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.337,0.995791,0.275895,3,7,0,173.77,0.679007,0.77378,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.536,0.990477,0.275895,2,3,0,173.577,0.727882,0.790989,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.943,0.980877,0.275895,2,3,0,174.088,0.777373,0.829536,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.135,0.991234,0.275895,2,3,0,174.404,0.825233,0.778397,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.672,1,0.275895,3,7,0,174.231,0.77898,0.592722,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.181,0.99367,0.275895,3,7,0,174.149,0.599274,0.69487,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.292,0.993916,0.275895,2,3,0,173.331,0.644408,0.781976,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-176.054,0.813542,0.275895,3,7,0,178.233,0.922453,0.84883,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.772,0.987619,0.275895,3,7,0,176.618,0.76713,0.371558,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.308,0.999105,0.275895,3,7,0,175.202,0.653104,0.78368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.988,0.956613,0.275895,2,7,0,174.264,0.696425,0.447855,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.271,0.998431,0.275895,3,7,0,174.483,0.593647,0.393021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.635,0.985747,0.275895,2,7,0,175.148,0.580162,0.499867,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.286,0.990748,0.275895,3,7,0,174.54,0.634263,0.60121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.431,0.991539,0.275895,1,3,0,173.528,0.643299,0.550469,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.439,0.996987,0.275895,3,7,0,173.678,0.638754,0.547556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.926,0.978891,0.275895,2,7,0,174.548,0.678276,0.452716,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.916,0.986105,0.275895,3,11,0,175.122,0.439262,0.334109,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.811,0.984803,0.275895,2,7,0,175.771,0.772593,0.532942,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.384,1,0.275895,3,7,0,173.851,0.587977,0.832608,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.331,0.985212,0.275895,2,7,0,173.936,0.680053,0.602361,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.864,0.930665,0.275895,2,3,0,175.379,0.696498,1.05096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.344,1,0.275895,2,3,0,175.113,0.503804,0.757779,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.374,0.897511,0.275895,1,3,0,175.516,0.459589,1.00884,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.118,1,0.275895,3,7,0,174.65,0.766721,0.462349,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.72,0.997404,0.275895,3,7,0,174.69,0.545535,0.488873,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.756,0.994099,0.275895,3,7,0,174.151,0.791613,0.739847,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.394,0.953824,0.275895,2,7,0,177.317,0.589778,0.836223,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.539,0.996425,0.275895,3,7,0,173.73,0.476838,0.577318,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.346,0.978472,0.275895,3,7,0,174.749,0.734401,0.409438,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.837,0.970203,0.275895,2,7,0,176.879,0.381456,0.635865,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.529,0.988526,0.275895,3,7,0,174.922,0.426311,0.391638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-175.82,0.985878,0.275895,4,15,0,175.948,0.58465,0.234955,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-175.584,0.999561,0.275895,2,3,0,175.862,0.58725,0.254537,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.989,0.999044,0.275895,3,7,0,175.766,0.6657,0.317146,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.363,1,0.275895,3,7,0,175.189,0.479932,1.01761,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.105,0.994072,0.275895,3,7,0,175.161,0.356306,0.560404,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.769,0.98845,0.275895,3,7,0,175.693,0.888302,0.544709,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.954,0.983587,0.275895,2,7,0,176.432,0.424285,0.503688,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.264,0.991746,0.275895,2,7,0,174.509,0.644266,0.615229,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.582,0.976415,0.275895,3,7,0,174.288,0.755454,0.584223,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.284,1,0.275895,3,7,0,173.601,0.570065,0.788434,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.802,0.960061,0.275895,2,5,0,174.066,0.584832,0.466141,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.667,0.971094,0.275895,3,15,0,175.825,0.281542,0.550132,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.062,1,0.275895,3,7,0,175.09,0.548816,0.4266,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.941,0.99914,0.275895,2,3,0,174.231,0.503704,0.458358,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.445,0.989914,0.275895,2,7,0,174.759,0.71892,0.589203,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.3,0.999936,0.275895,3,7,0,173.6,0.611241,0.592675,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.917,0.986208,0.275895,3,7,0,173.981,0.824071,0.676463,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.419,0.97612,0.275895,3,7,0,174.711,0.322008,0.522496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.252,0.988886,0.275895,3,7,0,175.494,0.618546,1.00762,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.19,1,0.275895,2,3,0,174.238,0.624887,0.717414,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.128,0.938986,0.275895,2,7,0,175.034,0.723892,0.436241,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.323,0.996146,0.275895,2,3,0,174.558,0.672017,0.393368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-175.942,0.965473,0.275895,2,7,0,176.559,0.853365,0.311593,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.485,0.985615,0.275895,2,7,0,176.303,0.579204,0.53613,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.88,0.992047,0.275895,2,7,0,173.903,0.598809,0.451677,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.431,0.98676,0.275895,2,7,0,174.876,0.667849,0.557563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.533,0.998803,0.275895,3,7,0,173.694,0.765811,0.655935,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.506,0.976587,0.275895,2,7,0,175.325,0.307964,0.79372,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.216,1,0.275895,2,3,0,174.619,0.3265,0.719686,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.78,0.991841,0.275895,3,7,0,174.866,0.269268,0.731235,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.418,0.99092,0.275895,3,7,0,175.551,0.623591,0.838529,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.266,0.998188,0.275895,3,7,0,173.564,0.677174,0.731803,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.288,0.999554,0.275895,2,3,0,173.288,0.683958,0.73747,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
