# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_no_transform_model
# start_datetime = 2024-03-06 11:30:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/RtmpXCq6sw/standata-176cf4ed53ada.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-202403061230-2-9826fd.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-profile-202403061230-2-76be33.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_no_transform_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,tau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.254202
# Diagonal elements of inverse mass matrix:
# 0.978365, 0.211998
-173.86,0.999513,0.254202,4,15,0,174.497,0.737074,0.489543,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.291,0.993559,0.254202,4,15,0,175.352,0.700027,0.688426,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.568,0.99307,0.254202,4,15,0,173.775,0.508032,0.541231,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.236,0.995874,0.254202,4,15,0,174.371,0.672119,0.669495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.378,0.986982,0.254202,2,5,0,173.987,0.715371,0.739649,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.298,0.999747,0.254202,3,7,0,173.436,0.694419,0.641313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.522,0.986796,0.254202,2,7,0,174.128,0.59729,0.524246,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.218,0.967276,0.254202,3,11,0,177.323,0.687328,0.410934,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.913,0.991514,0.254202,3,7,0,175.409,0.769508,0.356895,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-175.312,0.992149,0.254202,3,15,0,176.95,0.717714,0.297948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-175.451,0.993637,0.254202,4,15,0,177.163,0.480465,0.268855,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-175.508,0.992437,0.254202,3,15,0,176.132,0.308138,0.317679,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-176.192,1,0.254202,3,7,0,176.422,0.267462,0.257269,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-176.173,0.999535,0.254202,2,3,0,176.272,0.255806,0.267578,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.061,0.992377,0.254202,3,11,0,177.263,0.840704,0.636905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-175.911,0.981257,0.254202,3,11,0,177.215,0.18066,0.682991,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.572,0.9981,0.254202,3,7,0,176.215,0.285163,0.700403,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.663,0.97865,0.254202,3,15,0,176.388,0.843749,0.453107,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.883,0.998273,0.254202,3,15,0,175.239,0.73127,0.876554,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.424,0.996475,0.254202,4,15,0,174.711,0.745665,0.404023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.457,0.997793,0.254202,3,7,0,174.868,0.74975,0.667204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.483,0.988326,0.254202,2,7,0,174.07,0.67786,0.546238,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-173.816,0.993661,0.254202,3,7,0,174.379,0.381424,0.697741,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.606,0.993045,0.254202,4,15,0,174.95,0.871052,0.524026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-174.126,0.999552,0.254202,3,7,0,174.754,0.846204,0.618712,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
