# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_no_transform_model
# start_datetime = 2024-03-06 11:32:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c554685cc18.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-202403061232-1-572e3e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-profile-202403061232-1-70e475.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_no_transform_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,tau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.261622
# Diagonal elements of inverse mass matrix:
# 2.16336, 0.214063
-176.705,0.893165,0.261622,2,3,0,176.874,0.191103,0.840057,0.249382,9.29321,0,1,0,1,-0.0671886,0.0543487,0.502635,0.409556,0.590444,-171.898
-173.094,0.994018,0.261622,3,7,0,177.372,0.711838,0.842378,0.871428,14.6893,0,1,0,1,-3.46558e-05,9.98649e-06,0.717316,0.353378,0.646622,-168.572
-173.161,0.974929,0.261622,2,7,0,174.907,0.891359,0.640345,0.859022,3.82795,0,1,0,1,-1.73208e-08,1.88176e-09,0.891485,0.361039,0.638961,-167.629
-173.066,0.970273,0.261622,2,7,0,174.833,0.834156,0.54262,0.379674,10.6217,1,1,1,1,-4.79533e-07,7.95276e-08,0.834808,0.388652,0.611348,-167.732
-173.278,0.995841,0.261622,2,3,0,173.301,0.836387,0.49102,0.806208,1.15754,1,1,1,1,-4.31367e-07,7.05773e-08,0.837006,0.398676,0.601324,-167.836
-174.177,0.988683,0.261622,3,7,0,174.347,0.568055,0.386771,0.621161,3.22548,0,0,1,1,-0.000745031,0.000321812,0.594183,0.442869,0.557131,-169.088
-173.716,0.997092,0.261622,2,7,0,174.647,0.648764,0.42469,0.963209,4.01218,1,1,0,1,-0.000156829,5.50839e-05,0.660496,0.430346,0.569654,-168.644
-175.056,0.981256,0.261622,2,5,0,175.603,0.422331,0.339872,0.776129,9.43256,1,1,1,1,-0.00635043,0.00366844,0.504258,0.457794,0.542206,-169.836
-174.94,0.992341,0.261622,4,15,0,175.913,0.529464,0.309659,0.967789,3.2576,1,1,1,0,-0.00140932,0.000663134,0.565951,0.456407,0.543593,-169.649
-175.908,0.979365,0.261622,3,11,0,177.587,0.378386,0.264261,0.26409,13.0433,0,1,0,1,-0.0107733,0.00669685,0.488042,0.468511,0.531489,-170.404
-174.413,1,0.261622,3,7,0,176.024,0.790522,0.32944,0.682902,1.19804,1,1,0,1,-2.958e-06,6.19637e-07,0.792128,0.435128,0.564872,-168.774
-174.812,0.999886,0.261622,2,3,0,174.862,0.755029,0.290863,0.687747,12.5868,0,1,1,1,-9.93645e-06,2.43415e-06,0.757963,0.445107,0.554893,-169.162
-173.861,0.986372,0.261622,3,15,0,177.685,0.799584,0.391189,0.121358,14.1106,1,1,1,1,-2.09801e-06,4.20475e-07,0.800939,0.422305,0.577695,-168.357
