# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_no_transform_model
# start_datetime = 2024-03-06 11:32:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c554685cc18.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-202403061232-2-572e3e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-profile-202403061232-2-70e475.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_no_transform_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,tau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.274457
# Diagonal elements of inverse mass matrix:
# 1.58248, 0.327487
-174.627,0.995688,0.274457,3,15,0,176.948,0.954601,0.409237,0.171997,7.91402,0,1,1,0,-1.72288e-11,7.82174e-13,0.954605,0.403559,0.596441,-167.859
-174.798,0.997998,0.274457,2,3,0,174.877,0.957582,0.394194,0.86231,2.40581,1,0,1,1,-1.0038e-11,4.25797e-13,0.957585,0.406736,0.593264,-167.929
-173.005,0.996769,0.274457,3,11,0,175.184,0.633179,0.798002,0.744066,2.73933,1,1,1,1,-0.000217906,7.99326e-05,0.64705,0.373748,0.626252,-168.557
-172.789,0.94756,0.274457,2,7,0,175.386,0.756115,0.629873,0.114747,8.96954,1,1,1,1,-9.60137e-06,2.34163e-06,0.759,0.382709,0.617291,-167.885
-173.654,0.961833,0.274457,3,7,0,174.707,0.450742,0.78809,0.92785,8.71525,1,1,1,1,-0.00440078,0.00241716,0.517823,0.400202,0.599798,-169.258
-173.528,1,0.274457,2,3,0,173.648,0.470068,0.777338,0.354866,3.78147,0,1,1,1,-0.00338674,0.00179474,0.528291,0.399385,0.600615,-169.125
-173.319,0.99958,0.274457,2,3,0,173.568,0.5028,0.735905,0.813359,5.8074,1,1,1,1,-0.00211913,0.00105363,0.548092,0.400884,0.599116,-168.868
-174.344,0.963812,0.274457,2,3,0,174.478,0.34301,0.649795,0.402551,9.95113,0,1,1,1,-0.0159907,0.0105057,0.479692,0.425237,0.574763,-169.671
-172.873,0.999953,0.274457,3,7,0,174.544,0.732608,0.583647,0.72011,3.50446,1,1,1,1,-1.9512e-05,5.21736e-06,0.736717,0.394133,0.605867,-167.957
