# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_no_transform_model
# start_datetime = 2024-03-06 11:46:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c55474a9251.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-202403061246-2-3161b9.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-profile-202403061246-2-0620e9.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_no_transform_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.301352
# Diagonal elements of inverse mass matrix:
# 0.843689, 1.07651
-178.459,0.946689,0.301352,2,3,0,178.603,0.68033,0.258194,1.29459,0.853726,9.76425,0,1,0,1,-7.66225e-05,2.44939e-05,0.688494,0.290859,0.709141,-172.854
-178.144,1,0.301352,3,15,0,180.012,0.856229,0.0817363,1.08517,0.262989,8.35297,1,1,1,1,-1.56763e-07,2.2538e-08,0.856604,0.283014,0.716986,-170.832
-177.621,0.991786,0.301352,3,15,0,180.222,0.502418,0.194382,1.21456,0.554851,5.29134,1,1,1,1,-0.00213117,0.00106043,0.547847,0.34011,0.65989,-171.876
-177.321,0.986491,0.301352,3,7,0,178.461,0.737576,0.0790097,1.08221,0.967505,10.6717,1,1,1,0,-1.68898e-05,4.43229e-06,0.7414,0.309526,0.690474,-170.427
-177.962,0.99138,0.301352,3,15,0,178.112,0.599847,0.0195756,1.01977,0.351985,7.81242,0,1,1,1,-0.000419953,0.000168046,0.619264,0.347266,0.652734,-169.893
-177.15,0.99776,0.301352,3,11,0,177.964,0.649033,0.0659229,1.06814,0.108526,12.4905,0,1,0,1,-0.00015592,5.47229e-05,0.660731,0.330574,0.669426,-170.239
-178.61,0.953374,0.301352,3,7,0,179.905,0.483393,0.0135112,1.0136,0.413042,9.53162,1,1,1,1,-0.00280945,0.00145138,0.536051,0.368072,0.631928,-170.21
-178.444,0.996548,0.301352,2,3,0,178.78,0.482071,0.0163851,1.01652,0.41418,14.4098,1,1,1,1,-0.00286272,0.00148269,0.535262,0.36791,0.63209,-170.236
-177.534,0.998281,0.301352,4,15,0,179.164,0.765294,0.117274,1.12443,0.340865,9.49371,1,1,1,1,-7.13853e-06,1.67546e-06,0.767783,0.296649,0.703351,-170.958
-178.987,0.985275,0.301352,3,7,0,179.133,0.907042,0.036068,1.03673,0.0465001,8.98209,1,1,0,0,-5.06148e-09,4.70506e-10,0.90711,0.280814,0.719186,-170.481
-179.761,0.988518,0.301352,3,15,0,181.686,0.600815,0.0028457,1.00285,0.12708,8.37745,1,1,1,1,-0.000412371,0.000164612,0.62005,0.349462,0.650538,-169.763
-179.546,0.997821,0.301352,3,7,0,180.061,0.642975,0.00346525,1.00347,0.550519,5.02939,1,1,0,0,-0.000177526,6.33814e-05,0.65547,0.341286,0.658714,-169.701
-179.503,0.991532,0.301352,4,15,0,180.282,0.842643,0.00754961,1.00758,0.518337,10.8241,0,1,0,1,-3.17999e-07,5.00394e-08,0.843175,0.299524,0.700476,-169.888
-177.845,0.993784,0.301352,3,15,0,180.259,0.780677,0.0354767,1.03611,0.787344,10.8935,0,1,0,1,-4.22385e-06,9.26389e-07,0.782594,0.307709,0.692291,-170.031
-178.105,0.980963,0.301352,3,7,0,180.683,0.77175,0.183626,1.20157,0.844134,9.97586,1,1,1,1,-5.75305e-06,1.31313e-06,0.773986,0.282927,0.717073,-171.953
-178.471,0.951189,0.301352,2,3,0,178.977,0.736235,0.234797,1.26465,0.192263,14.2829,1,1,1,0,-1.75657e-05,4.63322e-06,0.740134,0.281711,0.718289,-172.659
-178.657,0.927225,0.301352,3,15,0,180.999,0.888022,0.11095,1.11734,0.233845,2.31363,1,0,1,1,-2.19838e-08,2.4617e-09,0.888163,0.270442,0.729558,-171.435
-177.96,0.990878,0.301352,3,11,0,179.677,0.381982,0.119504,1.12694,0.575671,9.71454,0,1,0,0,-0.0103343,0.00638678,0.489135,0.368286,0.631714,-171.676
-178.75,0.98646,0.301352,4,15,0,179.121,0.904586,0.0664735,1.06873,0.529292,14.6677,0,1,0,0,-6.21886e-09,5.93364e-10,0.904662,0.27551,0.72449,-170.877
-178.103,0.993604,0.301352,3,11,0,180.055,0.852647,0.0718767,1.07452,0.649338,5.33864,1,1,1,0,-1.90122e-07,2.80151e-08,0.853059,0.285645,0.714355,-170.683
-178.942,0.992889,0.301352,3,7,0,179.181,0.896667,0.0302396,1.0307,0.0228345,10.2965,0,1,0,1,-1.16685e-08,1.20574e-09,0.896771,0.284082,0.715918,-170.355
