# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:13:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c5559b7615c.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061313-1-8717f5.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061313-1-686b12.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.333916
# Diagonal elements of inverse mass matrix:
# 0.929154, 1.45949
-182.013,0.99385,0.333916,2,3,0,182.052,0.992489,0.0987276,1.10377,0.823217,11.0231,0,1,1,0,-1.00563e-17,7.55357e-20,0.992489,0.475523,0.524477,-170.899
-182.633,0.988504,0.333916,4,15,0,183.039,0.996432,0.0691019,1.07155,0.667939,13.2231,1,1,0,0,-2.61552e-20,9.33138e-23,0.996432,0.482793,0.517207,-171.368
-184.828,0.89474,0.333916,3,7,0,185.659,0.996989,0.00335973,1.00337,0.763495,5.52459,1,1,0,1,-6.73966e-21,2.02946e-23,0.996989,0.499163,0.500837,-172.53
-185.533,0.960124,0.333916,4,31,0,187.863,0.0386304,0.158232,1.17144,0.772762,5.50471,1,1,0,1,-0.192692,0.185249,0.67002,0.481127,0.518873,-172.42
-184.341,0.950955,0.333916,3,15,0,186.159,0.0763786,0.147971,1.15948,0.20234,13.9891,0,1,0,1,-0.152361,0.140724,0.611657,0.483016,0.516984,-172.182
-184.302,0.991569,0.333916,2,3,0,184.71,0.0770211,0.145328,1.15642,0.446586,8.94534,1,1,1,1,-0.151754,0.140066,0.610727,0.483331,0.516669,-172.184
-184.966,0.991365,0.333916,3,7,0,185.106,0.0651922,0.178504,1.19543,0.410554,7.57433,1,1,0,1,-0.163197,0.152558,0.628393,0.479252,0.520748,-172.211
-183.993,0.698222,0.333916,4,15,0,189.565,0.949467,0.000340143,1.00034,0.381548,0.64098,0,1,0,1,-4.03772e-11,2.04038e-12,0.949473,0.499919,0.500081,-172.587
-180.881,0.997566,0.333916,4,15,0,185.504,0.978688,0.0334543,1.03402,0.338669,10.3082,1,1,0,1,-4.16505e-14,8.87651e-16,0.978688,0.491815,0.508185,-171.988
-177.783,0.998065,0.333916,3,11,0,181.996,0.73344,0.0290589,1.02949,0.745306,9.42371,1,1,1,1,-1.90495e-05,5.07784e-06,0.737501,0.494643,0.505357,-172.16
-177.334,0.982908,0.333916,4,15,0,178.935,0.5988,0.0455326,1.04659,0.997911,6.51045,1,1,0,0,-0.000428285,0.000171828,0.618414,0.492966,0.507034,-171.999
-177.485,0.99349,0.333916,3,7,0,177.721,0.761769,0.11071,1.11707,0.485314,3.5574,0,1,1,1,-8.01025e-06,1.90829e-06,0.764405,0.478856,0.521144,-171.02
-177.183,1,0.333916,3,7,0,177.567,0.639187,0.0596253,1.06144,0.901988,11.0253,1,1,1,1,-0.000192303,6.93853e-05,0.652201,0.490282,0.509718,-171.795
-177.104,0.998632,0.333916,2,5,0,177.283,0.636921,0.0741227,1.07694,0.817567,7.34066,1,1,0,1,-0.000201638,7.32107e-05,0.650253,0.487956,0.512044,-171.615
-177.167,0.9987,0.333916,3,7,0,177.184,0.608267,0.061761,1.06371,0.752626,12.7512,1,1,0,1,-0.000357838,0.000140177,0.626149,0.490339,0.509661,-171.791
-177.266,0.987674,0.333916,3,7,0,178.036,0.614303,0.050326,1.05161,0.993157,10.9229,1,1,1,1,-0.000318317,0.000122774,0.631142,0.492064,0.507936,-171.929
-177.768,0.961154,0.333916,2,5,0,178.764,0.8148,0.0763149,1.0793,0.484928,13.5319,0,1,1,0,-1.13483e-06,2.1017e-07,0.815799,0.484441,0.515559,-171.425
-178.064,0.988834,0.333916,3,7,0,178.406,0.442367,0.0334542,1.03402,0.00021151,4.4308,0,1,0,1,-0.00491392,0.00274016,0.513591,0.495746,0.504254,-172.218
-177.713,1,0.333916,3,7,0,178.401,0.730501,0.0316394,1.03215,0.691857,2.89597,1,1,1,1,-2.07258e-05,5.58559e-06,0.734736,0.494189,0.505811,-172.124
-178.674,0.985297,0.333916,3,7,0,179.221,0.315224,0.0828476,1.08638,0.166156,8.96244,1,1,0,1,-0.0214326,0.0146765,0.47638,0.490578,0.509422,-171.85
-178.389,0.992198,0.333916,4,15,0,179.615,0.868299,0.109639,1.11588,0.64548,3.86894,1,1,1,0,-7.87718e-08,1.03743e-08,0.868566,0.476211,0.523789,-170.896
-178.418,0.999376,0.333916,2,3,0,178.441,0.869322,0.112329,1.11888,0.926288,5.38317,1,1,1,0,-7.40918e-08,9.68217e-09,0.86958,0.4756,0.5244,-170.858
-177.129,0.992698,0.333916,3,7,0,178.871,0.543475,0.101651,1.107,0.761359,3.85504,0,0,0,1,-0.00112579,0.000513952,0.575895,0.485398,0.514602,-171.394
-178.079,0.95977,0.333916,2,7,0,178.498,0.517317,0.0212148,1.02144,0.918703,5.2513,1,1,0,1,-0.00170235,0.000821695,0.557635,0.497052,0.502948,-172.332
-177.661,0.987889,0.333916,3,7,0,178.878,0.47183,0.184673,1.20283,0.129371,5.36083,0,1,1,1,-0.00330511,0.00174566,0.529292,0.475735,0.524265,-170.72
-179.163,0.932308,0.333916,3,11,0,179.633,0.916821,0.0345765,1.03518,0.820891,4.47839,1,1,1,1,-2.1021e-09,1.74851e-10,0.916865,0.492075,0.507925,-171.997
