# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:23:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c55a673083.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061323-1-933b51.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061323-1-8fa863.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.239019
# Diagonal elements of inverse mass matrix:
# 1.05563, 1.17517
-179.2,0.997527,0.239019,4,15,0,181.231,0.877077,0.00963006,1.00968,0.811996,4.00061,0,1,1,0,-4.58051e-08,5.6305e-09,0.877281,0.497888,0.502112,-172.429
-179.161,0.999152,0.239019,4,15,0,180.08,0.7234,0.00376182,1.00377,0.358147,0.909438,0,0,1,0,-2.53109e-05,7.00098e-06,0.72808,0.499315,0.500685,-172.537
-178.188,0.994179,0.239019,4,15,0,180.128,0.868789,0.0312138,1.03171,0.955512,7.48506,1,1,1,0,-7.65002e-08,1.00377e-08,0.869051,0.493219,0.506781,-172.074
-178.295,0.99955,0.239019,4,15,0,178.954,0.838034,0.0182075,1.01837,0.827595,1.41972,1,1,1,1,-3.98563e-07,6.45537e-08,0.838629,0.496183,0.503817,-172.294
-176.945,0.998626,0.239019,4,15,0,179.216,0.626173,0.168093,1.18305,0.608056,3.43195,0,1,1,1,-0.000251416,9.3986e-05,0.641095,0.473096,0.526904,-170.575
-177.053,0.990763,0.239019,3,7,0,177.513,0.725272,0.140558,1.15092,0.303843,4.42068,0,1,1,1,-2.40243e-05,6.60014e-06,0.729832,0.474377,0.525623,-170.708
-177.261,0.992414,0.239019,4,15,0,177.62,0.479894,0.0445442,1.04555,0.172952,4.98584,0,1,1,1,-0.00295231,0.00153551,0.533972,0.494087,0.505913,-172.076
-178.446,0.994799,0.239019,3,11,0,179.04,0.760896,0.00911569,1.00916,0.270004,6.92615,0,1,1,1,-8.23991e-06,1.9702e-06,0.763569,0.49826,0.50174,-172.452
-178.275,0.99879,0.239019,4,15,0,178.594,0.460511,0.284997,1.32976,0.492728,7.49356,0,1,1,1,-0.00386012,0.00208249,0.522995,0.463079,0.536921,-170.015
-177.615,0.997215,0.239019,2,3,0,178.369,0.460252,0.223193,1.25006,0.313192,7.13197,1,1,0,1,-0.00387373,0.00209084,0.522854,0.471074,0.528926,-170.442
-177.446,0.98463,0.239019,2,3,0,178.026,0.457185,0.20121,1.22288,0.487316,2.74541,0,1,0,1,-0.00403749,0.00219161,0.521206,0.474009,0.525991,-170.619
-177.06,0.983834,0.239019,3,7,0,178.556,0.494445,0.0562445,1.05786,0.871525,1.26371,1,1,0,0,-0.00239617,0.00121139,0.542805,0.492402,0.507598,-171.937
-177.41,0.995931,0.239019,3,11,0,177.666,0.534269,0.0274318,1.02781,0.255149,4.41134,0,1,1,1,-0.00130592,0.000608208,0.56932,0.496105,0.503895,-172.252
-178.222,0.98427,0.239019,4,15,0,178.776,0.341575,0.048335,1.04952,0.552337,3.94763,1,1,0,0,-0.0162403,0.010693,0.479449,0.494403,0.505597,-172.126
-176.844,0.990828,0.239019,2,5,0,179.104,0.558493,0.0589924,1.06077,0.0618585,6.30241,1,1,0,1,-0.000877414,0.000387384,0.586947,0.491357,0.508643,-171.86
