# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:23:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c55a673083.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061323-2-933b51.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061323-2-8fa863.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.224949
# Diagonal elements of inverse mass matrix:
# 0.909451, 1.61659
-176.854,0.99525,0.224949,2,7,0,177.39,0.722248,0.0898687,1.09403,0.56916,1.45864,0,1,0,1,-2.61319e-05,7.25817e-06,0.727004,0.483673,0.516327,-171.334
-177.282,0.99207,0.224949,2,5,0,177.51,0.783276,0.123802,1.13179,0.769809,4.62173,0,1,1,1,-3.85093e-06,8.34587e-07,0.785108,0.47572,0.52428,-170.825
-176.662,0.99228,0.224949,3,7,0,177.742,0.625327,0.0891697,1.09327,0.50545,2.7202,1,1,1,1,-0.000255744,9.58201e-05,0.640381,0.485734,0.514266,-171.444
-176.89,0.995394,0.224949,2,7,0,177.049,0.721358,0.0669582,1.06925,0.326519,6.9185,1,1,0,1,-2.6782e-05,7.46261e-06,0.726172,0.487847,0.512153,-171.636
-176.8,0.999998,0.224949,3,7,0,176.93,0.705638,0.0940823,1.09865,0.557996,9.12663,1,1,0,1,-4.07943e-05,1.20083e-05,0.711583,0.48327,0.51673,-171.298
-177.342,0.989268,0.224949,3,15,0,177.762,0.55043,0.218773,1.24455,0.995135,5.87533,1,1,0,1,-0.00100419,0.000451452,0.580964,0.468323,0.531677,-170.261
-176.885,0.943491,0.224949,3,7,0,178.673,0.507347,0.136342,1.14607,0.911973,6.24019,0,1,0,1,-0.00198014,0.000975523,0.551034,0.481294,0.518706,-171.09
-176.706,0.987881,0.224949,2,7,0,177.765,0.580665,0.123389,1.13132,0.607752,3.61016,1,1,0,1,-0.000596841,0.000250276,0.60395,0.481397,0.518603,-171.113
-176.964,0.98501,0.224949,3,11,0,177.665,0.694838,0.0473782,1.04852,0.785374,7.54991,1,1,0,1,-5.37445e-05,1.64008e-05,0.701667,0.49169,0.50831,-171.92
-177.327,0.983753,0.224949,2,7,0,178.859,0.70397,0.0279716,1.02837,0.926695,0.399482,1,0,0,1,-4.25988e-05,1.26105e-05,0.710045,0.495035,0.504965,-172.186
-177.617,0.996903,0.224949,3,15,0,177.797,0.611991,0.0180386,1.0182,0.827509,9.0384,0,1,0,1,-0.00033299,0.000129203,0.629224,0.497164,0.502836,-172.35
-177.94,0.992811,0.224949,4,15,0,178.582,0.866872,0.104367,1.11001,0.108526,8.32702,0,1,0,1,-8.57326e-08,1.14135e-08,0.867149,0.47739,0.52261,-170.972
-180.359,0.975065,0.224949,3,15,0,180.723,0.264304,0.0115033,1.01157,0.556037,6.01103,1,1,1,1,-0.0353555,0.0260109,0.478459,0.498726,0.501274,-172.494
-179.534,0.990825,0.224949,4,15,0,181.365,0.885712,0.220114,1.24622,0.775534,7.60501,1,1,1,1,-2.5819e-08,2.95079e-09,0.885866,0.451406,0.548594,-169.51
-178.432,0.862339,0.224949,2,3,0,181.783,0.885511,0.137014,1.14684,0.17879,2.13456,1,1,1,0,-2.61796e-08,2.99728e-09,0.885665,0.4697,0.5303,-170.502
-178.302,0.997352,0.224949,4,15,0,178.688,0.345737,0.040093,1.04091,0.929089,5.75087,1,1,1,1,-0.0155252,0.0101576,0.480175,0.495343,0.504657,-172.2
-177.323,0.990436,0.224949,4,15,0,180.143,0.616165,0.21383,1.23841,0.793964,5.34733,1,1,1,1,-0.000306909,0.000117802,0.632692,0.466246,0.533754,-170.158
-177.608,1,0.224949,4,15,0,178.037,0.681092,0.0186655,1.01884,0.906746,5.18337,0,1,1,0,-7.52403e-05,2.39947e-05,0.689181,0.496784,0.503216,-172.325
-178.263,0.99816,0.224949,2,7,0,178.384,0.676246,0.00887143,1.00891,0.270384,6.12873,1,1,1,1,-8.4408e-05,2.73274e-05,0.684819,0.498481,0.501519,-172.465
-178.49,0.999025,0.224949,2,7,0,178.739,0.691256,0.00710212,1.00713,0.894824,7.27783,0,1,1,1,-5.87584e-05,1.81413e-05,0.698398,0.49876,0.50124,-172.49
-178.233,0.99278,0.224949,3,15,0,179.959,0.867586,0.0285323,1.02894,0.348636,4.65076,0,1,0,1,-8.21849e-08,1.08824e-08,0.867858,0.49381,0.50619,-172.118
-178.621,0.997756,0.224949,4,15,0,178.921,0.314533,0.0417486,1.04263,0.48274,2.45537,1,0,1,0,-0.0215853,0.014796,0.476336,0.495254,0.504746,-172.205
-178.095,0.998577,0.224949,4,15,0,179.291,0.885729,0.0604809,1.06235,0.893489,9.85495,0,1,1,1,-2.57885e-08,2.94687e-09,0.885883,0.486608,0.513392,-171.6
-177.117,0.994455,0.224949,3,7,0,178.748,0.769988,0.106888,1.11281,0.0355244,6.81049,0,1,1,0,-6.10575e-06,1.40439e-06,0.772291,0.479375,0.520625,-171.059
-177.084,0.999797,0.224949,4,15,0,177.183,0.76253,0.109801,1.11606,0.000747878,0.228345,0,1,1,0,-7.81467e-06,1.85575e-06,0.765134,0.479009,0.520991,-171.031
-178.764,0.960093,0.224949,4,15,0,178.987,0.529629,0.00613508,1.00615,0.159761,2.22542,0,1,1,0,-0.00140567,0.000661187,0.566065,0.499134,0.500866,-172.516
