# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:28:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c5566696718.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061328-1-47c5a0.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061328-1-096bb3.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.335967
# Diagonal elements of inverse mass matrix:
# 0.256348, 1.2261
-1601.22,0.987217,0.335967,3,11,0,1601.72,0.397646,0.0036845,1.00369,0.445913,8.87359,1,1,1,0,-0.0523518,0.0315343,0.997473,0.499129,0.500871,-1730.9
-1602.52,0.985659,0.335967,3,7,0,1602.72,0.309357,0.00404375,1.00405,0.631104,6.70006,1,1,0,1,-0.0704484,0.0486547,0.992074,0.499068,0.500932,-1730.79
-1600.68,0.992306,0.335967,3,15,0,1604.33,0.727533,0.0031994,1.0032,0.606101,3.37586,1,1,1,1,-0.00400965,0.0010925,0.999998,0.499203,0.500797,-1731.01
-1600.59,0.996971,0.335967,4,15,0,1602.5,0.445768,0.00427674,1.00429,0.961022,3.67291,0,1,0,1,-0.0420612,0.0233116,0.998775,0.498977,0.501023,-1730.68
-1600.94,0.99484,0.335967,4,15,0,1601.99,0.71265,0.00197151,1.00197,0.29337,0.598293,0,1,0,1,-0.00485871,0.00139615,0.999997,0.49951,0.50049,-1731.46
-1599.33,1,0.335967,4,15,0,1600.9,0.560984,0.0155623,1.01568,0.918181,9.28032,1,1,1,0,-0.0208388,0.00914854,0.999851,0.496191,0.503809,-1726.68
-1599.71,0.991415,0.335967,3,7,0,1599.78,0.483792,0.0118018,1.01187,0.874029,9.25126,1,1,0,1,-0.0343526,0.0177331,0.999348,0.497153,0.502847,-1728.05
-1599.51,0.999477,0.335967,3,15,0,1599.87,0.672353,0.0138208,1.01392,0.208201,6.51968,0,1,0,1,-0.0077486,0.00253881,0.99999,0.496572,0.503428,-1727.21
-1600.46,0.964083,0.335967,2,7,0,1601.69,0.478425,0.00357255,1.00358,0.918852,2.58308,0,1,1,1,-0.0354065,0.0184672,0.999285,0.499139,0.500861,-1730.92
