# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:34:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c5551680188.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061334-2-499d69.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061334-2-0e91b8.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.237721
# Diagonal elements of inverse mass matrix:
# 0.256109, 2.06682
-1601.97,0.988407,0.237721,2,7,0,1603.14,0.724581,0.000727298,1.00073,0.199259,9.30112,0,1,0,1,-0.00416927,0.0011483,0.999998,0.499819,0.500181,-1731.91
-1603.3,0.984168,0.237721,4,15,0,1603.76,0.720581,0.000178053,1.00018,0.510947,1.43273,1,1,0,1,-0.00439244,0.00122733,0.999998,0.499956,0.500044,-1732.11
-1602.3,0.995005,0.237721,3,15,0,1603.66,0.630945,0.000297032,1.0003,0.276614,0.825012,1,1,0,0,-0.0117045,0.00431962,0.99997,0.499927,0.500073,-1732.07
-1603.23,0.993598,0.237721,4,15,0,1604.51,0.424639,0.000301168,1.0003,0.16302,8.26036,0,1,0,1,-0.0465365,0.0267753,0.9983,0.499928,0.500072,-1732.07
-1604.75,0.99865,0.237721,4,15,0,1605.78,0.78527,9.51536e-05,1.0001,0.569758,3.57786,1,1,1,1,-0.00166952,0.000358498,1,0.499976,0.500024,-1732.14
-1599.57,0.973814,0.237721,4,15,0,1605.35,0.647611,0.00763543,1.00766,0.148341,0.811623,1,0,0,1,-0.0099863,0.00351906,0.999981,0.49811,0.50189,-1729.43
-1599.72,0.999053,0.237721,3,7,0,1599.8,0.675728,0.00731162,1.00734,0.20683,6.34933,1,1,1,1,-0.0074715,0.0024228,0.999991,0.498186,0.501814,-1729.54
-1599.73,0.984973,0.237721,3,15,0,1601.14,0.672138,0.0250211,1.02534,0.428136,8.85287,1,1,0,1,-0.00776648,0.00254634,0.99999,0.493794,0.506206,-1723.25
-1601.51,0.935886,0.237721,3,15,0,1602.05,0.479226,0.00107264,1.00107,0.724304,3.91487,1,1,0,1,-0.0352483,0.0183564,0.999295,0.499741,0.500259,-1731.8
-1601.56,0.999974,0.237721,2,3,0,1601.64,0.488452,0.000949555,1.00095,0.174002,0.900743,1,1,1,1,-0.0334479,0.0171102,0.999399,0.499771,0.500229,-1731.84
-1602.4,0.998978,0.237721,3,7,0,1602.46,0.478083,0.000429237,1.00043,0.940924,0.60138,1,0,1,1,-0.0354741,0.0185146,0.999281,0.499897,0.500103,-1732.02
-1601.93,0.989653,0.237721,3,15,0,1604.12,0.597072,0.000423714,1.00042,0.454673,9.39632,1,1,0,0,-0.0157375,0.00634107,0.999933,0.499896,0.500104,-1732.02
-1605.82,0.979411,0.237721,3,11,0,1607.47,0.799759,4.21101e-05,1.00004,0.193006,3.01717,0,1,1,1,-0.00128578,0.000257466,1,0.499989,0.500011,-1732.16
-1605.58,1,0.237721,3,7,0,1605.87,0.786312,4.2174e-05,1.00004,0.636017,3.53706,1,1,0,1,-0.00163952,0.000350346,1,0.499989,0.500011,-1732.16
-1602.32,0.999121,0.237721,4,15,0,1606.44,0.387554,0.00121677,1.00122,0.675462,9.87222,1,1,0,1,-0.0545309,0.0333972,0.997087,0.499713,0.500287,-1731.75
-1599.86,0.999494,0.237721,4,15,0,1602.69,0.484801,0.0269741,1.02734,0.00909599,1.00817,0,1,0,0,-0.0341559,0.0175971,0.99936,0.493491,0.506509,-1722.83
-1599.82,0.997046,0.237721,3,15,0,1600.29,0.511337,0.0302328,1.03069,0.981677,0.506185,1,1,0,1,-0.0291572,0.0142481,0.999602,0.492666,0.507334,-1721.68
-1599.39,0.994587,0.237721,2,5,0,1600.05,0.551101,0.0113708,1.01144,0.766248,1.02043,0,1,1,1,-0.0223782,0.0100455,0.999817,0.497221,0.502779,-1728.16
