# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:56:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c55d8ee9d7.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061356-2-59a0d6.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061356-2-4351f5.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post,tau_post,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.237721
# Diagonal elements of inverse mass matrix:
# 0.256109, 2.06682
-1601.97,0.988407,0.237721,2,7,0,1603.14,0.724581,0.000727298,1.00073,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.85,0.980575,0.237721,3,11,0,1606.04,0.402949,0.00552187,1.00554,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601,0.998118,0.237721,4,15,0,1601.49,0.766987,0.00402059,1.00403,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1603.13,0.983235,0.237721,4,15,0,1605.38,0.792647,0.000565396,1.00057,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1603.03,0.980377,0.237721,4,15,0,1605.64,0.31976,0.0017684,1.00177,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1602.19,0.999811,0.237721,3,7,0,1603.31,0.378389,0.0015972,1.0016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.92,0.996207,0.237721,4,15,0,1602.58,0.755674,0.00360669,1.00361,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.24,0.998944,0.237721,4,15,0,1602.38,0.548841,0.000958688,1.00096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.49,0.999933,0.237721,4,15,0,1601.54,0.554558,0.000719085,1.00072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.39,0.999115,0.237721,3,9,0,1602.43,0.621277,0.0100269,1.01008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.24,0.977918,0.237721,4,15,0,1601.82,0.486157,0.0554422,1.05701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1604.38,0.93296,0.237721,4,15,0,1604.84,0.848942,0.000542896,1.00054,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1604.15,1,0.237721,2,3,0,1604.42,0.841286,0.000564968,1.00057,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1602.34,0.993262,0.237721,3,15,0,1605.69,0.527305,0.000334947,1.00034,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1602.38,0.99963,0.237721,2,3,0,1602.41,0.519837,0.000332634,1.00033,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1602.76,0.999993,0.237721,3,7,0,1602.84,0.52771,0.000217617,1.00022,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1602.07,0.974689,0.237721,4,15,0,1605.28,0.338192,0.00373126,1.00374,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.08,0.999332,0.237721,4,15,0,1602.52,0.727803,0.00837733,1.00841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.28,0.992276,0.237721,3,7,0,1601.36,0.809011,0.0161605,1.01629,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.92,1,0.237721,3,7,0,1601.35,0.792252,0.0114436,1.01151,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
