# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:59:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/RtmpgrDZRT/standata-75124c3124f4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061359-1-5736fb.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061359-1-70ed32.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post,tau_post,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.335967
# Diagonal elements of inverse mass matrix:
# 0.256348, 1.2261
-1601.22,0.987217,0.335967,3,11,0,1601.72,0.397646,0.0036845,1.00369,0.609667,0.99986,1534,2498,0.598122,0.731784,1502,1885,-0.0523518,0.0315343,0.997473,0.499129,0.500871,-1730.9
-1601.28,0.999788,0.335967,3,7,0,1601.3,0.392328,0.00372633,1.00373,0.65274,0.998771,1614,2499,0.596843,0.731792,1505,1823,-0.0535009,0.032511,0.997275,0.499121,0.500879,-1730.88
-1602.41,0.993467,0.335967,3,7,0,1602.7,0.368832,0.00145894,1.00146,0.528215,0.967069,1345,2402,0.591177,0.731346,1482,1878,-0.0585435,0.0369508,0.996239,0.499658,0.500342,-1731.67
-1600.23,0.999441,0.335967,4,15,0,1602.49,0.739796,0.00825806,1.00829,0.572989,0.999862,1418,2499,0.676951,0.732686,1693,1852,-0.0033913,0.000882429,0.999999,0.497943,0.502057,-1729.17
-1601.27,0.983111,0.335967,2,7,0,1601.83,0.809123,0.0155106,1.01563,0.656103,0.910106,1656,2261,0.691923,0.734121,1736,1866,-0.00107407,0.000205015,1,0.496127,0.503873,-1726.49
-1600.53,0.994976,0.335967,3,7,0,1602.09,0.722462,0.00367342,1.00368,0.588543,0.999945,1465,2499,0.673149,0.731782,1658,1840,-0.00428654,0.00118968,0.999998,0.499086,0.500914,-1730.84
-1601.11,0.994887,0.335967,3,15,0,1601.37,0.78627,0.00547291,1.00549,0.587923,0.990518,1458,2481,0.68703,0.732136,1716,1807,-0.00164073,0.000350673,1,0.498634,0.501366,-1730.16
-1601.06,0.998333,0.335967,4,15,0,1602.34,0.498885,0.00151312,1.00151,0.620837,0.648823,1572,1635,0.622197,0.731356,1528,1785,-0.0314593,0.0157647,0.999501,0.499634,0.500366,-1731.64
