# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:59:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/RtmpgrDZRT/standata-75124c3124f4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061359-2-5736fb.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061359-2-70ed32.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post,tau_post,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.237721
# Diagonal elements of inverse mass matrix:
# 0.256109, 2.06682
-1601.97,0.988407,0.237721,2,7,0,1603.14,0.724581,0.000727298,1.00073,0.549651,0.999909,1340,2499,0.673615,0.731202,1671,1827,-0.00416927,0.0011483,0.999998,0.499819,0.500181,-1731.91
-1600.85,0.980575,0.237721,3,11,0,1606.04,0.402949,0.00552187,1.00554,0.563753,0.907329,1413,2246,0.599396,0.732146,1470,1818,-0.051206,0.0305726,0.997658,0.498693,0.501307,-1730.26
-1601,0.998118,0.237721,4,15,0,1601.49,0.766987,0.00402059,1.00403,0.668379,0.663909,1663,1666,0.682869,0.73185,1732,1816,-0.00226104,0.000526853,1,0.498997,0.501003,-1730.7
-1603.13,0.983235,0.237721,4,15,0,1605.38,0.792647,0.000565396,1.00057,0.688323,0.995332,1737,2486,0.688399,0.73117,1717,1869,-0.00146527,0.000303828,1,0.499859,0.500141,-1731.97
-1603.03,0.980377,0.237721,4,15,0,1605.64,0.31976,0.0017684,1.00177,0.64404,0.996657,1610,2493,0.579266,0.731406,1445,1837,-0.0685124,0.0466048,0.992995,0.499591,0.500409,-1731.57
-1602.19,0.999811,0.237721,3,7,0,1603.31,0.378389,0.0015972,1.0016,0.684087,0.99973,1711,2497,0.593485,0.731373,1494,1845,-0.0565022,0.0351224,0.996695,0.499625,0.500375,-1731.62
-1600.92,0.996207,0.237721,4,15,0,1602.58,0.755674,0.00360669,1.00361,0.682571,0.999658,1719,2498,0.680414,0.731768,1697,1822,-0.00269284,0.000657929,0.999999,0.499101,0.500899,-1730.85
-1601.24,0.998944,0.237721,4,15,0,1602.38,0.548841,0.000958688,1.00096,0.707917,0.833827,1792,2113,0.633867,0.731247,1591,1825,-0.0227386,0.0102587,0.999808,0.499766,0.500234,-1731.83
-1601.49,0.999933,0.237721,4,15,0,1601.54,0.554558,0.000719085,1.00072,0.713438,0.595019,1790,1455,0.635192,0.7312,1628,1820,-0.0218329,0.00972529,0.999829,0.499824,0.500176,-1731.92
-1599.39,0.999115,0.237721,3,9,0,1602.43,0.621277,0.0100269,1.01008,0.521148,0.998895,1329,2498,0.650509,0.733035,1624,1811,-0.0127812,0.00484051,0.999962,0.497525,0.502475,-1728.59
-1601.24,0.977918,0.237721,4,15,0,1601.82,0.486157,0.0554422,1.05701,0.663169,0.989509,1649,2475,0.619201,0.742118,1548,1852,-0.0338922,0.0174153,0.999375,0.486621,0.513379,-1713.31
-1604.38,0.93296,0.237721,4,15,0,1604.84,0.848942,0.000542896,1.00054,0.567411,0.999813,1466,2499,0.700345,0.731165,1768,1845,-0.000442034,6.67729e-05,1,0.499864,0.500136,-1731.97
-1604.15,1,0.237721,2,3,0,1604.42,0.841286,0.000564968,1.00057,0.647814,0.988344,1623,2474,0.698736,0.73117,1770,1846,-0.000533838,8.47278e-05,1,0.499859,0.500141,-1731.96
-1602.34,0.993262,0.237721,3,15,0,1605.69,0.527305,0.000334947,1.00034,0.65939,0.99722,1620,2493,0.628854,0.731124,1555,1825,-0.026326,0.0124442,0.999706,0.499918,0.500082,-1732.06
-1602.38,0.99963,0.237721,2,3,0,1602.41,0.519837,0.000332634,1.00033,0.610807,0.996269,1509,2494,0.62711,0.731124,1555,1865,-0.0276326,0.0132682,0.999661,0.499919,0.500081,-1732.06
-1602.76,0.999993,0.237721,3,7,0,1602.84,0.52771,0.000217617,1.00022,0.596316,0.998623,1513,2496,0.628949,0.731101,1577,1803,-0.0262561,0.0124005,0.999708,0.499947,0.500053,-1732.1
