# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = REL2_model_model
# start_datetime = 2024-03-01 15:12:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/RtmpXCq6sw/standata-176cff56d720.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/REL2_model-202403011612-1-551dbc.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/REL2_model-profile-202403011612-1-8c5439.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=REL2_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,logTau,tau,alpha_prior,tau_prior,alpha_prior_preds03,alpha_prior_preds07,alpha_prior_preds09,alpha_post_preds03,alpha_post_preds07,alpha_post_preds09,tau_prior_preds03,tau_prior_preds07,tau_prior_preds09,tau_post_preds03,tau_post_preds07,tau_post_preds09
# Adaptation terminated
# Step size = 0.157107
# Diagonal elements of inverse mass matrix:
# 3.52485, 1.38287
-5.83873,0.973357,0.157107,4,31,0,6.91332,0.056908,0.137319,1.14719,1.31643,-0.319544,0,1,1,1,1,0,0,1,1,0,0,1
-4.89718,1,0.157107,3,7,0,6.02536,0.18243,0.12651,1.13486,-0.480142,0.90481,1,0,0,0,1,1,1,0,0,1,0,0
-4.87993,1,0.157107,4,15,0,5.53718,0.656115,0.084709,1.0884,1.49502,-0.114676,0,1,1,0,0,0,0,1,1,0,1,1
-4.43071,0.992592,0.157107,3,15,0,6.4357,0.864744,0.264227,1.30242,0.794531,1.16074,0,1,1,0,1,1,1,1,1,0,1,1
-4.17066,0.999957,0.157107,3,7,0,4.47748,0.824735,0.278363,1.32097,0.683363,0.561647,1,0,1,0,0,1,0,1,1,0,0,1
-3.08407,0.997243,0.157107,3,15,0,4.89935,0.510398,1.56681,4.79132,-0.241553,1.33929,0,0,0,1,1,1,1,0,0,1,0,1
-2.93442,0.999765,0.157107,3,15,0,3.18117,0.502231,0.6649,1.9443,0.917433,0.213292,0,0,1,0,1,1,0,1,0,0,1,1
-4.17135,0.99109,0.157107,3,13,0,4.47801,0.466085,0.157376,1.17044,0.865488,0.0898799,0,0,1,1,0,0,0,1,1,1,1,1
-2.83571,0.999908,0.157107,4,15,0,4.28183,0.585699,1.02575,2.78917,0.581206,-0.00493205,0,1,1,0,1,0,0,1,1,0,1,1
-4.58183,0.962324,0.157107,3,7,0,6.64902,0.439823,2.5252,12.4934,2.04987,-0.172237,0,1,1,1,0,1,0,1,1,0,0,1
-2.89005,0.99409,0.157107,3,7,0,5.32924,0.641156,0.95835,2.60739,0.928403,1.00509,1,1,1,1,1,1,0,0,1,1,1,1
-3.16182,0.997302,0.157107,3,15,0,3.25903,0.4266,0.4891,1.63085,0.991493,1.32615,1,0,1,1,1,1,0,0,1,0,1,0
-2.85931,0.999994,0.157107,4,15,0,3.22723,0.59918,1.12028,3.06571,0.706065,1.0623,0,1,1,0,1,1,0,1,1,0,1,0
-2.93436,0.996725,0.157107,3,15,0,3.24518,0.412128,0.705444,2.02475,0.704833,0.575959,1,1,1,1,1,0,0,1,1,0,1,1
-3.43028,0.995025,0.157107,3,15,0,3.9523,0.419739,0.354883,1.42601,0.861038,0.737088,0,1,0,1,0,1,0,1,1,0,1,1
-3.50851,0.999828,0.157107,3,7,0,3.51567,0.394443,0.332019,1.39378,0.484439,0.945639,0,0,1,0,0,0,1,1,1,0,0,1
-3.57779,0.998219,0.157107,4,31,0,4.09414,0.813707,0.532271,1.7028,0.425925,-0.240174,0,0,1,0,0,1,0,1,1,1,1,0
-6.26896,0.951241,0.157107,3,7,0,9.35831,0.854438,2.94851,19.0776,0.73364,0.784051,0,0,1,1,1,1,0,1,0,0,1,1
-3.23048,1,0.157107,2,3,0,6.44748,0.732061,1.45389,4.27973,0.284873,0.726981,0,1,1,0,0,1,0,1,0,1,1,1
-3.37626,0.998259,0.157107,3,7,0,3.42232,0.757839,1.54877,4.70569,0.398818,0.94948,1,1,1,0,0,1,0,1,0,0,0,1
-4.09715,0.998009,0.157107,4,15,0,4.4747,0.91449,0.664261,1.94305,0.655479,0.303112,0,0,0,0,1,1,0,1,1,0,0,1
