# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = REL2_model_model
# start_datetime = 2024-03-05 12:00:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/RtmpXCq6sw/standata-176cf562d2095.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/REL2_model-202403051300-2-6269d4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/REL2_model-profile-202403051300-2-09ffb1.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=REL2_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,logTau,tau,alpha_prior,tau_prior,alpha_prior_preds03,alpha_prior_preds07,alpha_prior_preds09,alpha_post_preds03,alpha_post_preds07,alpha_post_preds09,tau_prior_preds03,tau_prior_preds07,tau_prior_preds09,tau_post_preds03,tau_post_preds07,tau_post_preds09
# Adaptation terminated
# Step size = 0.131451
# Diagonal elements of inverse mass matrix:
# 3.61301, 0.826118
-5.46607,1,0.131451,4,15,0,6.05149,0.133792,0.0918302,1.09618,0.0538256,0.270908,0,0,0,0,1,1,0,0,0,0,1,0
-2.89642,0.999862,0.131451,5,31,0,5.76612,0.615444,0.815666,2.26068,0.324094,0.913459,0,1,1,0,0,1,1,1,1,0,1,1
-2.93919,0.999824,0.131451,5,31,0,3.02005,0.654644,1.18803,3.2806,-0.285172,0.0852764,1,0,1,0,1,1,0,0,0,1,0,1
-3.34207,0.995864,0.131451,5,31,0,4.17946,0.183853,0.842305,2.32171,0.882348,-0.167358,1,1,1,1,0,1,0,0,1,0,1,1
-2.97906,1,0.131451,4,15,0,3.49325,0.465643,0.621149,1.86106,0.963724,0.509487,1,1,1,0,0,0,0,0,0,0,1,0
-2.96427,0.99943,0.131451,5,31,0,3.23665,0.63112,1.30956,3.70455,0.636581,0.0569934,0,1,1,1,1,1,0,0,1,1,0,0
-3.17092,0.999037,0.131451,4,15,0,3.34985,0.771128,1.13504,3.11131,-0.303088,0.21845,1,1,0,1,1,0,0,1,1,1,1,1
-3.15491,0.997876,0.131451,5,31,0,4.06922,0.410214,0.500836,1.6501,0.665748,-0.40697,0,0,1,1,1,0,1,1,1,0,1,0
-3.18842,0.998291,0.131451,4,23,0,3.94674,0.233535,0.787241,2.19733,0.956693,-0.356336,0,1,0,0,0,0,0,0,1,1,1,1
-4.19581,0.996995,0.131451,4,15,0,4.41295,0.129883,0.355824,1.42736,-0.252735,0.00949941,0,0,0,1,0,0,0,0,0,1,1,0
-4.51707,0.998804,0.131451,4,15,0,4.96531,0.0773061,0.418985,1.52042,1.13528,0.101228,0,1,1,1,1,1,0,1,1,0,0,0
-4.17452,0.999984,0.131451,4,15,0,4.69763,0.13662,0.347202,1.4151,0.62687,-0.323417,0,1,1,1,0,1,1,0,1,1,1,0
-3.23845,0.998631,0.131451,3,15,0,4.97794,0.422354,0.444937,1.56039,-0.13022,1.02928,0,1,1,0,1,1,0,1,0,0,0,0
-3.17218,0.998959,0.131451,5,31,0,4.13307,0.651317,0.533287,1.70453,0.564915,0.59755,0,0,1,1,0,0,1,0,0,0,1,1
-3.04825,0.999587,0.131451,5,31,0,3.47546,0.289935,1.2285,3.41609,0.0420833,0.67239,0,1,1,1,0,1,1,0,1,0,1,1
-2.89457,0.998864,0.131451,4,15,0,3.38239,0.464053,1.30286,3.67979,0.375984,0.822604,0,0,1,0,0,1,0,1,1,0,0,1
-2.88788,0.999894,0.131451,4,15,0,2.97547,0.389597,0.825053,2.282,0.889436,0.735894,0,0,1,1,0,1,0,1,1,0,0,0
-3.2104,0.995154,0.131451,3,15,0,4.20826,0.742245,0.654994,1.92513,0.455808,0.603288,0,0,0,0,0,1,0,0,1,1,0,1
-3.442,0.999682,0.131451,4,31,0,3.66895,0.656439,0.382697,1.46623,0.312731,-0.36723,0,1,1,1,1,1,0,1,1,0,0,1
-2.83886,0.999429,0.131451,4,19,0,3.62095,0.425836,0.895296,2.44806,0.701383,0.581911,0,1,1,0,0,0,1,1,1,1,0,0
-3.36007,0.99838,0.131451,4,15,0,3.39545,0.274429,0.493975,1.63882,0.0997514,0.30268,0,0,0,0,0,0,0,1,1,0,1,0
-3.1726,0.999566,0.131451,5,31,0,3.8416,0.352961,1.5652,4.78365,0.251951,0.715,0,0,1,1,0,0,1,1,0,1,0,1
-4.15676,0.993156,0.131451,5,31,0,5.10422,0.891322,0.44795,1.5651,1.35711,0.314717,1,0,1,1,0,1,0,0,1,0,1,1
-4.05157,0.999355,0.131451,5,31,0,5.25984,0.105699,0.531157,1.7009,0.803047,0.170855,1,0,1,0,0,1,0,1,1,1,1,1
-4.82428,0.999028,0.131451,4,15,0,4.9731,0.0610621,0.377047,1.45797,0.237551,0.44487,1,1,1,1,1,1,0,0,0,0,1,0
-6.35448,0.999173,0.131451,5,31,0,6.69384,0.0275246,0.165079,1.17949,0.122697,0.0765388,1,1,0,1,1,0,1,1,0,0,1,0
-2.881,0.999975,0.131451,4,15,0,6.57975,0.588321,1.21679,3.37632,1.10592,1.29604,1,0,1,0,1,1,0,0,1,0,1,1
-3.20859,0.997733,0.131451,4,15,0,3.40795,0.328091,1.56589,4.78694,0.82064,0.179667,1,1,1,0,0,0,0,1,1,0,0,0
-3.5789,0.997077,0.131451,5,31,0,3.95008,0.718422,0.370336,1.44822,0.504197,-0.372235,0,1,1,0,1,1,0,0,1,0,1,1
-3.30926,0.999835,0.131451,4,31,0,3.82268,0.235167,0.615477,1.85054,1.32476,0.963026,0,1,1,0,1,1,0,0,1,0,1,1
-3.08339,0.999855,0.131451,4,15,0,3.44669,0.259582,0.879236,2.40906,0.53041,0.757856,0,0,1,0,1,0,1,0,1,1,0,1
-3.57319,0.997818,0.131451,4,15,0,4.05096,0.452739,1.96765,7.15385,0.228549,0.961784,1,1,0,0,0,1,0,1,0,1,0,0
-4.74696,0.979411,0.131451,5,31,0,6.77477,0.90683,2.0329,7.63623,0.262075,0.661975,1,1,0,1,1,1,0,0,1,1,1,1
-4.69797,1,0.131451,1,1,0,4.75236,0.904602,2.01472,7.49866,0.848027,0.0864058,1,1,1,0,0,0,0,0,1,0,0,0
-3.73498,0.999558,0.131451,4,15,0,5.64121,0.123026,0.717481,2.04926,-0.147315,0.531923,1,0,0,1,0,0,1,1,0,0,0,0
-4.07344,0.997059,0.131451,4,15,0,5.37165,0.0940732,1.46598,4.33179,0.517916,1.57054,0,1,0,1,1,0,1,1,1,1,1,0
-4.7828,0.993946,0.131451,4,23,0,5.8369,0.910388,0.266553,1.30546,0.765133,0.862532,1,1,0,1,1,1,0,0,1,0,0,1
-4.05215,0.999896,0.131451,5,31,0,5.39502,0.220121,2.04204,7.70632,0.543519,0.700556,0,1,1,1,1,1,1,1,1,0,1,1
-6.43807,0.948271,0.131451,5,31,0,7.55762,0.854486,0.0322619,1.03279,0.698292,0.654362,0,0,1,1,0,0,0,0,1,1,0,1
-6.18782,0.997969,0.131451,4,15,0,7.88377,0.729567,0.0261082,1.02645,0.8266,0.953915,1,0,1,0,1,1,0,1,1,0,1,1
-5.66725,0.999665,0.131451,4,15,0,6.34386,0.737611,0.0448226,1.04584,1.12844,0.0808343,1,0,1,0,0,0,0,0,1,0,1,1
-7.15212,0.99605,0.131451,4,31,0,7.1905,0.915423,0.0253647,1.02569,0.00820942,0.524483,0,1,1,0,1,1,0,0,1,1,1,1
-6.60187,0.999999,0.131451,5,31,0,7.76784,0.549658,0.0137512,1.01385,0.493733,0.143784,0,1,1,1,1,1,1,1,1,0,1,1
-8.00729,0.999559,0.131451,5,31,0,8.3655,0.686878,0.00388131,1.00389,-0.13941,0.328681,0,0,0,0,0,1,1,0,1,0,1,1
-6.81926,0.999663,0.131451,5,31,0,8.41137,0.272107,0.0138279,1.01392,-0.0829184,0.977551,0,1,0,0,1,0,0,1,1,1,1,1
-4.3653,0.999732,0.131451,5,31,0,6.98923,0.67136,0.145954,1.15714,0.51873,0.641716,1,1,1,0,1,1,0,1,1,0,1,1
